The number is...555-5432.	號碼是……555-5432。
The number is...555-4169.	號碼是……555-4169。
The number is...555-3344.	號碼是……555-3344。
The number is...555-8723.	號碼是……555-8723。
The number is...555-1699.	號碼是……555-1699。
The number is...555-2052.	號碼是……555-2052。
The number is...555-4495.	號碼是……555-4495。
The number is...(407) 555-2677.	號碼是……(407) 555-2677。
The number is...(407) 555-6844.	號碼是……(407) 555-6844。
The number for their customer support line is...(209) 683-6858.	他們的客服專線是……(209) 683-6858。
The number for their BBS line is...(209) 683-4463.	他們的電子佈告欄專線是……(209) 683-4463。
Hello.	喂。
What do you want?	你想要什麼？
Hello, this is Detective Bonds from the Lytton Police Department.	喂，我是萊頓警察局的邦茲警探。
Who are you?	你是誰？
Jessie Bains, has escaped from the Lytton jail. You'd better be on the lookout for him, because he's been getting rid of anyone who helped put him behind bars.	傑西．班恩斯已經逃離萊頓監獄。你最好小心提防他，因為凡是曾協助把他送進牢裡的人，都可能遭他滅口。
That's kind of hard to believe. I'm in Steelton though, under a witness protection program, so I'm not worried.	這有點難以置信。不過我目前在斯蒂爾頓，受到證人保護計畫保護，所以不用擔心。
Well, I gotta go.	那我得掛了。
You tell Colby about the weather in Steelton.	你告訴柯比斯蒂爾頓的天氣。
Things here in Lytton are going ok.	萊頓這裡一切還好。
Who is this?	你是哪位？
I don't care.	我不在乎。
Big deal.	有什麼了不起。
I don't find that very interesting.	我覺得那沒什麼好玩的。
I don't have time to chat with you.	我沒時間跟你閒聊。
Oh, Sonny. I see you got my message!	喔，桑尼。看來你收到我的留言了！
When you get off work, meet me at Arnie's, OK?	你下班後來阿尼餐廳找我，好嗎？
I'll be waiting, Sonny. See you in a little while. Bye now.	我會等你，桑尼。待會兒見。先這樣，再見。
