You're welcome!	不客氣！
That's OK.	沒關係。
No one responds.	沒人回應。
Don't be so violent, Sonny.	別這麼暴力，桑尼。
Search what?	要搜查什麼？
You don't find anything interesting.	你沒找到任何值得注意的東西。
It's empty.	裡面是空的。
You don't see him here.	你沒在這裡看到他。
You don't see her here.	你沒在這裡看到她。
You're not close enough.	你離得不夠近。
You already took it.	你已經拿走了。
You can't do that now.	你現在不能這麼做。
You don't have it.	你沒有那個東西。
You don't have your gun.	你的配槍不在身上。
You have $%u cash in your money clip.	你的鈔票夾裡有現金 $%u。
A %s you bought at Lytton airport.	你在萊頓機場買的 %s。
An airplane ticket to %s.	一張前往 %s 的機票。
The entrance to the station is the other way.	警察局入口在另一邊。
Feeling rather foolish, you think to yourself: "Now, where could my keys be? I just had them a few minutes ago in my car."	你覺得自己有點糊塗，心想：「我的鑰匙會在哪裡？幾分鐘前明明還在車上。」
You can walk 'til you drop, but you'll be late for work!	你儘管走到累倒，但上班可要遲到了！
So, the prodigal Sonny returns. Glad to see you came back before something terrible happened.	桑尼這個浪子終於回來了。幸好你在出事前回到這裡。
SCREEEEEECH.....	嘎——吱——……
No one will ever know why, upon arriving for work one day, Detective Sonny Bonds decided to take a walk down the center line of Lytton's busiest street.	沒人知道為什麼，桑尼．邦茲警探某天上班時，竟決定沿著萊頓最繁忙街道的中央線散步。
Thank you for playing Police Quest 2. Next time, be a little more careful.	感謝你遊玩《警察故事 2》。下次請小心一點。
In the POLICE PARKING LOT!? That may be a bad idea. I suggest you think this over! Perhaps the police psychiatrist could help?	在警察局停車場裡！？這主意不太妙。我建議你再想清楚！也許可以請警察局的心理醫師幫忙？
Go on! Get out and look around first.	快點！先下車四處看看。
Get in your car first.	先上車。
You place your field kit inside the trunk.	你把現場勘查箱放進後車廂。
You don't have the field kit.	你沒有現場勘查箱。
Open the trunk, first.	先打開後車廂。
You're not close enough to your car's trunk.	你離自己的車子後車廂不夠近。
You take your field kit from the trunk.	你從後車廂拿出現場勘查箱。
The field kit is not in the trunk.	現場勘查箱不在後車廂裡。
You're not in anything you can exit.	你現在不在任何可以離開的地方。
