You've already looked there.	你已經看過那裡了。
He's down the hall.	他在走廊那頭。
Just good old Keith!	就是老好人基斯！
You read over a list of names..."Roberts, Wilkans, Colby, Bonds."	你讀著一份姓名清單……「羅伯茲、威爾肯斯、柯爾比、邦茲。」
"Mercy, Mercy!" you think to yourself, as you realize... "This is Bains' hit list...and..."	「天啊，天啊！」你恍然大悟，心想……「這是班恩斯的暗殺名單……而且……」
"Now that murderous scumbag has Marie!"	「那個殺人混蛋現在抓走了瑪麗！」
You search the deep crevices of the sofa and find...	你搜索沙發深處的縫隙，找到……
"How about that!" you think to yourself, "a $2 bill."	「真沒想到！」你心想：「一張 2 美元鈔票。」
You slip the bill into your money clip.	你把鈔票塞進錢夾。
You search the deep crevices of the sofa, but there are no clues.	你搜索沙發深處的縫隙，但沒有線索。
Go closer to the sofa.	靠近沙發。
You search the deep crevices of the chair and find...	你搜索椅子深處的縫隙，找到……
"How about that!" you think to yourself, "a $1 bill."	「真沒想到！」你心想：「一張 1 美元鈔票。」
You search the deep crevices of the chair, but there are no clues.	你搜索椅子深處的縫隙，但沒有線索。
Go closer to the chair.	靠近椅子。
You look through everything, but you see nothing that could help you.	你查看了所有東西，但沒看到任何能幫助你的物品。
There's no reason to search it.	沒有理由搜索它。
You don't see anything unusual.	你看不出任何異常。
Why are you searching Marie's house?	你為什麼要搜索瑪麗的房子？
Go into the kitchen.	進入廚房。
You find no more substantial evidence.	你沒有找到更多實質證據。
So far, you haven't seen any substantial evidence.	到目前為止，你還沒看到任何實質證據。
Marie is not here.	瑪麗不在這裡。
It's Marie's favorite, "Silky Lace".	這是瑪麗最喜歡的「Silky Lace」。
The fragrance is too faint to smell.	香味太淡，聞不出來。
