Just walk on in!	直接走進去！
"Gee, Sonny," says Keith. "I guess the restaurant's closed."	「哎呀，桑尼，」基斯說。「我猜餐廳關門了。」
"Go on and eat," says Keith. "Sleep sounds better than food, so I think I'll catch a quick snooze. Don't tell the Captain!"	「你去吃吧，」基斯說。「睡覺聽起來比吃飯更好，所以我想小睡一下。別告訴警監！」
What kind of a gentleman are you, leaving without saying goodbye to Marie?	你算什麼紳士，竟然不向瑪麗道別就離開？
"Hi, Sonny!"	「嗨，桑尼！」
"I'm so glad to see you. Please sit down."	「見到你真高興。請坐。」
Even for Lytton, this is a very classy place to dine. The wallpaper is white velveteen and the napkins are linen.	即使在萊頓，這也是非常高級的用餐場所。牆紙是白色絲絨，餐巾是亞麻布。
You look, but all you see is a bony knee here and there.	你看了看，只看到這裡那裡露出的骨感膝蓋。
The elegant tables are made of solid oak.	雅致的桌子由實心橡木製成。
There are some limited edition prints on the wall. There is a partition which separates the rear of the restaurant from the front.	牆上掛著幾幅限量版畫。隔板將餐廳後方與前方分隔開來。
In one corner, you can see the stain left from a leaky roof.	你可以看到某個角落留有屋頂漏水的污漬。
The carpeting was chosen in a light blue by Nguyen Interiors, Inc. It does little to hide the food stains.	地毯由 Nguyen Interiors 公司選用淡藍色，但幾乎遮不住食物污漬。
Constructed from forest products, it separates the smoking section from the non-smoking section.	它由木材製成，將吸菸區與禁菸區分隔開來。
A telephone is located on the counter.	櫃檯上有一具電話。
Manufactured by the Steelton Phone Company.	由 Steelton 電話公司製造。
The cash register is located on the desk	收銀機放在桌上。
Looks delicious!	看起來很好吃！
You notice that the other customers don't have any food on their tables.	你注意到其他客人的桌上都沒有食物。
His velveteen outfit is very stylish. He seems to know his business.	他的絲絨服裝非常時髦。他看起來很懂自己的工作。
The couple at the table seem happy and content.	桌邊的那對情侶看起來幸福又滿足。
He's not around to look at.	他不在附近，沒什麼好看的。
Marie slips you a sidelong glance. She suspects that you're looking at another woman.	瑪麗斜眼瞥了你一下。她懷疑你正在看另一個女人。
You want to gaze into Marie's eyes. You'd better sit down.	你想凝視瑪麗的雙眼。你最好先坐下。
You can't get over what a knockout Marie is!	你無法不驚嘆瑪麗真是個大美人！
The cash register is a modern point-of-sale computer terminal which feeds its information to Arnie's home office.	收銀機是現代化的銷售點電腦終端，會將資料傳送到阿尼的總辦公室。
