Sheeeeeoooooo! What an aroma!	嘶————！好臭的氣味！
You take a snoot-full of fresh air; NO cigarette smoke!	你大口吸入新鮮空氣；沒有香菸煙霧！
You already took the clothes.	你已經拿過衣物了。
You remove a pair of grey pants and a blue shirt from the can.	你從垃圾桶取出一條灰褲子和一件藍襯衫。
You think to yourself, "Man, these look like jail clothes....wait a minute! Here's a cloth nametag sewn onto the shirt."	你心想：「老天，這看起來像獄警服……等等！襯衫上縫著一個布姓名牌。」
What clothes? You don't see any here.	什麼衣物？你在這裡沒看到。
Having reasonable cause to believe a serious crime may have been committed, you need to gather and preserve evidence. Items in the "field kit" will aid you.	你有合理理由相信這裡可能發生重大犯罪，因此必須蒐集並保存證物。「現場勘查箱」裡的物品會派上用場。
Officer Moore says, "Poor guy. He's just a few years older than my kid."	摩爾警官說：「可憐的傢伙。他只比我孩子大幾歲。」
Officer Moore is still in his scuba equipment.	摩爾警官仍穿著水肺潛水裝備。
"J BAINS"	「J BAINS」
Please be more specific.	請說得更具體。
Near the river's edge, you look down and see what appear to be partially coagulated blood and drag marks.	在河邊，你低頭看見疑似部分凝固的血跡和拖痕。
You also see footprints in the soft, damp ground.	你也在柔軟潮濕的地面上看見腳印。
You see nothing but dirt, grass, and ants.	你只看見泥土、草和螞蟻。
Watch out! A car can be a deadly weapon, too.	小心！車子也可能是致命武器。
What car?	什麼車？
All you can make out is "C03".	你只能辨認出「C03」。
What license plate?	什麼車牌？
As you suspected, you look in the garbage can and find...	如你所料，你查看垃圾桶並找到……
"GARBAGE!"	「垃圾！」
The trees here appear to be a variety of cottonwood.	這裡的樹看起來是各種楊樹。
You're in Cotton Cove. You remember the carefree days of your youth, when you played cops and robbers here. Now, however, it's very real...and much more serious.	你在 Cotton Cove。你想起年輕時在這裡玩警察抓小偷的無憂日子。但現在一切都是真的……而且嚴重得多。
Thank you for playing Police Quest 2.	感謝遊玩《警察故事 2》。
Your mind is starting to go hazy as you realize that your air supply is gone.	你發現空氣供應耗盡，意識開始變得模糊。
You are having trouble getting enough air.	你開始難以取得足夠空氣。
