The boy says, "I don't know."	男孩說：「我不知道。」
Scanning his guest book, he shakes his head and says... "I'm sorry. I don't have anyone listed by that name."	他翻看住客登記簿，搖頭說……「抱歉，我沒有看到那個名字。」
Scanning his guest book, he nods his head and says... "Yes, here we are: William Cole...Room 108."	他翻看住客登記簿，點頭說……「有了，在這裡：威廉．科爾……108 號房。」
You show the search warrant to the manager, and he says... "Ok, now what?"	你把搜索票出示給經理，他說……「好，那現在呢？」
You don't have the key to any room here.	你沒有這裡任何房間的鑰匙。
You ask the manager for the key, and he answers... "Get serious, Mac! You rent a room...you get a key. Unfortunately for you," he says, "we don't have a vacancy."	你向經理索取鑰匙，他回答……「別鬧了，老兄！你租房間……就會拿到鑰匙。很不幸，」他說，「我們沒有空房。」
"I don't care if you're the Queen of England!" he blurts out. "I have an obligation to my customers, and I know the law and there ain't nobody gettin' any key!"	「就算你是英國女王，我也不在乎！」他脫口而出。「我有義務保護客人，而且我懂法律，誰也別想拿到任何鑰匙！」
The manager sounds like he'd really like to help as he says, "I don't know what room's key you want! Besides, I've got paying customers in all of my rooms."	經理聽起來很想幫忙，卻說：「我不知道你要哪間房的鑰匙！再說，我所有房間都有付費客人。」
"Anything you say, officer." the manager says, as he gives you the key to Room 108.	「遵命，警官。」經理說著，把 108 號房的鑰匙交給你。
You could, but it wouldn't get you anywhere.	你可以這麼做，但不會有任何結果。
Your last act in life is kicking the door in as you're blasted into an unknown dimension.	你人生最後的行動是踢開房門，接著被炸進未知次元。
Because of your improper positioning, you have been blasted into oblivion.	由於站位不當，你被炸得灰飛煙滅。
Keith says... "Sonny! Be careful now."	基斯說……「桑尼！現在小心。」
As the door opens, you are startled by a sudden explosion.	房門打開時，突如其來的爆炸把你嚇了一跳。
Trained reflexes throw you back, slamming your gun hand against the wall. "That was TOO close for comfort!" you say to yourself.	受過訓練的反射動作讓你向後躍開，持槍的手撞上牆壁。你對自己說：「那實在太驚險了！」
Congratulations, you have been successful in taking yourself out of the game.	恭喜你，你成功讓自己出局了。
You watch as the "SWAT team" unloads tear gas into the room.	你看著「特警隊」將催淚瓦斯灌入房間。
Just before you enter the gas filled room, Keith says: "Better stay put, Sonny."	就在你要進入充滿瓦斯的房間前，基斯說：「最好待在原地，桑尼。」
You enter into the motel room, but in a short time, you are overcome by the gas and fall unconscious to the floor.	你進入汽車旅館房間，但很快就被瓦斯熏倒，失去意識倒在地上。
You don't have time.	你沒有時間。
You are not in the bathroom.	你不在浴室裡。
"Whew!" you sigh.	你嘆道：「呼！」
Whooooooooosssssshhhhh........ gurgle, gurgle.	嘩————……咕嚕、咕嚕。
You wash and dry your hands.	你洗乾並擦乾雙手。
You already picked up a business card from the sink.	你已經從水槽拿過一張名片。
