You look, but can't find any evidence here.	你查看了，但在這裡找不到任何證據。
Officer Moore is in top physical condition. He's an energetic and happy kind of guy.	摩爾警官身體狀況極佳。他精力充沛、個性開朗。
Bains has jumped into his getaway car, and is speeding off.	班恩斯跳上逃逸車，疾速離去。
There are no cars here.	這裡沒有車。
All you can make out, as the car whizzes by you, is "C03".	車子從你身旁呼嘯而過，你只能辨認出「C03」。
The van's license plate is of no interest to you.	廂型車的車牌沒有值得你注意之處。
There are no license plates here.	這裡沒有車牌。
This is a 'Special Forces' van, used just for unusual circumstances.	這是一輛「特勤部隊」廂型車，只在特殊情況下使用。
You look, but find nothing behind the tree.	你查看了，但樹後什麼也沒找到。
You look, but find nothing under the bush.	你查看了，但灌木下什麼也沒找到。
You look and see a heart, with initials, carved into the trunk of the tree.	你看見樹幹上刻著一顆心和姓名縮寫。
From this distance, it looks like any other oak tree.	從這個距離看，它就像其他橡樹一樣。
This is Cotton Cove. It brings back many memories of your youth.	這裡是 Cotton Cove，勾起你許多青春回憶。
You look all around, but find nothing.	你環顧四周，但什麼也沒找到。
You look, but don't see any expended shells.	你查看了，但沒看見任何用過的彈殼。
Officer Moore can't hear you. You'd better get closer.	摩爾警官聽不到你。你最好靠近一點。
That's a fine idea. But how?	這主意不錯。但要怎麼做？
Although shaking from surprise, confusion, and fear, you somehow manage to return fire!	雖然因驚訝、困惑與恐懼而發抖，你還是設法還擊！
Unfortunately, however, the flight of your bullet misses its target, and the killer continues his ambush!	然而很不幸，你的子彈沒有命中目標，殺手繼續伏擊！
Although the flight of your bullet misses its target, it comes close enough to cause the suspect to take leg bail.	雖然子彈沒有命中目標，但已近到足以讓嫌犯拔腿逃跑。
As Bains comes running towards you, you notice the gun in his hand, analyze the situation quickly, and take action. Although your bullet misses its mark, it comes close enough for the suspect to take leg bail.	班恩斯朝你跑來時，你注意到他手中的槍，迅速分析情況並採取行動。雖然子彈沒有命中，但已近到足以讓嫌犯拔腿逃跑。
Your nerves on edge, you fired wildly into the bushes. Was it Bains, or a little boy playing? Without knowing, you should not have discharged your weapon. Next time, be sure you are in danger before firing.	你神經緊繃，朝灌木叢胡亂開槍。那是班恩斯，還是玩耍的小男孩？在不確定的情況下，你不該開槍。下次開槍前，先確認自己正處於危險中。
Just before taking a hot round in the chest, you hear Bains yell... "This one's for you, PIG!!!"	就在胸口中彈前，你聽見班恩斯喊道……「這發子彈是給你的，豬！！！」
Too bad, so sad, you've been had. But wait! All is not lost. Just restore your game and begin again. Next time though, make sure your gun is properly sighted in and pointed in the right direction.	真糟糕，你中招了。但等等！還沒有全盤皆輸。只要讀取存檔重新開始。下次記得確認槍枝已正確校準，並指向正確方向。
Too bad, so sad, you've been had. But wait! All is not lost. Just restore your game and begin again. Next time though, you might try returning gun fire before it's too late.	真糟糕，你中招了。但等等！還沒有全盤皆輸。只要讀取存檔重新開始。下次可以試著在太遲前還擊。
