"Ugh!" grunts Keith, as he walks past the body.	「呃！」基斯走過屍體旁時呻吟道。
"I'll search the car, Sonny. YOU can examine the trunk."	「我來搜車，桑尼。你可以檢查後車廂。」
What are we doing back here, Sonny?	桑尼，我們回到這裡做什麼？
Keith looks at you accusingly; "They've already cleaned up the murder scene! I told you we should've come here right away. We're going to catch it from Fletch now!"	基斯帶著責備的眼神看著你：「他們已經清理過命案現場了！我就告訴過你我們應該立刻來。現在弗萊奇要訓我們一頓了！」
"What are we doing here?" Keith asks. "Are we going to meet someone?"	「我們來這裡做什麼？」基斯問。「要跟誰碰面嗎？」
Keith yells: "Wait up, Sonny! Don't leave me here!"	基斯喊道：「等等我，桑尼！別把我留在這裡！」
"Did'a you find something, Sonny?" Mario asks.	「你找到什麼了嗎，桑尼？」馬里奧問。
"Pretty gruesome, eh, Sonny?" groans Mario. "How'a one person can'a do that to another is really... you know'a... sick!"	「很慘烈，對吧，桑尼？」馬里奧呻吟道。「一個人怎麼能對另一個人做出這種事，真是……你知道……太噁心了！」
"Hello again, guys," shouts Officer Gelepsi.	「大家好，又見面了！」傑列普西警官喊道。
In his heavy Italian accent, Officer Gelepsi says... "Well! It'sa bout'a time, Sonny!"	傑列普西警官帶著濃重的義大利口音說……「很好！你總算來了，桑尼！」
"I found'a this car with'a blood dripping from'a the trunk" he says...	「我發現這輛車的後車廂滴著血，」他說……
Continuing, he says "The door was un'alocked, with'a the keys innaside."	他繼續說：「車門沒鎖，鑰匙就在裡面。」
You listen intently as he explains, "I took'a the keys and opened the trunk. That'sa when I found the man with the hole'a inna his head."	你專心聽他解釋：「我拿了鑰匙打開後車廂。就在那時，我發現一個頭上有洞的男人。」
Continuing..."Thisa car isa registered to Woody Roberts."	他繼續說……「這輛車登記在伍迪．羅伯茲名下。」
Gelepsi finishes, "I called'a the coroner. Now YOU canna take over this'a mess, Sonny. "	傑列普西說完：「我叫了法醫。現在你可以接手這團亂，桑尼。」
Remembering the coroner's poor eyesight, you decide to move out of his car's way.	想起法醫視力不佳，你決定離開他的車行進路線。
"Where is this body?" asks the coroner. "I don't see no body! (haw haw)"	「屍體在哪裡？」法醫問。「我怎麼沒看到屍體！（哈、哈）」
"Let me guess: the trunk! Of course, where else WOULD it be?"	「讓我猜猜：後車廂！當然，還能在哪裡？」
"Yes-sir-ree-Bob!" remarks the coroner "Definitely looks like an execution."	「是的，鮑伯！」法醫評論道：「看起來確實像處決。」
"Would you help me, Officer Gelepsi?" asks the coroner. "This fella is pretty heavy. He's on a diet now, though (haw haw)."	「你能幫我嗎，傑列普西警官？」法醫問。「這傢伙很重。不過他現在正在減重了（哈、哈）。」
Officer Gelepsi and the coroner struggle to carry the victim into the back of the coroner's vehicle.	傑列普西警官和法醫費力地把被害人抬進法醫車後方。
"Bye, Sonny! I gotta dig up a date for tonight (haw!)." the cheerful coroner yells over his shoulder.	「掰，桑尼！我今晚得去挖個約會對象（哈！）」開朗的法醫回頭喊道。
The coroner has work to do - and since you don't want to end up on his table next to Woody, you decide to MOVE!	法醫還有工作要做——而你可不想和伍迪一起躺在他的解剖台上，所以決定快點離開！
"The coroner is arriving, Sonny." Keith informs you.	「法醫到了，桑尼。」基斯通知你。
There is a dead person in the trunk.	後車廂裡有一具屍體。
