"Bonds, we have bad news. Jessie Bains has escaped Lytton City Jail!"	「邦茲，有個壞消息。傑西．班恩斯從萊頓市監獄逃走了！」
"Not only has he escaped," the Captain says,"but he took the jailer as hostage!"	警監說：「他不只逃走了，還把獄卒抓來當人質！」
"Bonds, I've named you and your partner, Keith, to a special task force with the code name of "Target."	「邦茲，我已經指派你和搭檔基斯加入一支特別工作小組，代號是『目標』。」
The Captain continues:"I want you boys to answer any and all calls that might be even remotely connected to this dirtbag!"	警監繼續說：「任何可能與這個混蛋有一點關聯的通報，你們都要處理！」
The Captain orders you: "Find a mug shot of that punk, and get on this immediately!"	警監命令你：「找出那個混蛋的嫌犯照片，立刻開始辦案！」
"You have your orders, Bonds!"	「你已經接到命令了，邦茲！」
"You're wasting valuable time, Bonds!"	「你正在浪費寶貴時間，邦茲！」
"You're a detective. Start earning your money!"	「你是警探，開始做出成績！」
"Bonds," says the Captain, "go ahead and take off. You've earned your daily dollar."	警監說：「邦茲，去吧。你今天的薪水已經賺到了。」
"You're on your own time boy....Go somewhere!"	「現在是你自己的時間，小子……去辦案吧！」
"Hey Bonds!" the Captain blurts. "We have a traffic cop standing by down in the old warehouse district with a 187 victim."	「嘿，邦茲！」警監脫口說道。「舊倉庫區有一名交通警員守著一具 187 案受害者的遺體。」
Continuing, the Captain says: "The victim took it in the back of the head. Looks like it could be a professional hit."	警監接著說：「受害者後腦中槍，看起來可能是職業殺手所為。」
"Sonny! The address is 160 West Rose. Take Keith and get over there!"	「桑尼！地址是西玫瑰街 160 號。帶基斯過去！」
"Keith just told me about the motel incident!" the Captain says in an excited voice.	「基斯剛告訴我汽車旅館的事！」警監興奮地說。
"Good thing Keith was there with you, keeping a cool head and following procedures."	「幸好基斯當時和你在一起，保持冷靜並遵守程序。」
The Captain continues... "I've been thinking....I don't like what I see."	警監繼續說……「我一直在想……我不喜歡目前看到的情況。」
"Point #1:" says Fletch, "The murder victim, Woody Roberts, testified against Bains at his trial last year."	弗萊奇說：「第一點：謀殺案受害者伍迪．羅伯茲去年曾在班恩斯的審判中作證。」
"Point #2:" he continues, "Bonds, you also testified against Bains last year."	他繼續說：「第二點：邦茲，你去年也曾在班恩斯的審判中作證。」
"Point #3: You were led into a booby trap at the motel. If you ask me," he says, "this whole thing is shaping up as a vendetta!"	「第三點：你在汽車旅館被引進陷阱。他說：「依我看，整件事正在變成一場復仇！」
In a worried tone of voice, the Captain says,"You boys better start digging. We appear to have a vengeful maniac on our hands!"	警監擔憂地說：「你們最好開始深入調查。我們手上似乎有一個尋仇的瘋子！」
Barely able to contain your emotions, you quickly tell Captain Hall about the signs of a struggle at Marie's.	你幾乎壓抑不住情緒，迅速告訴霍爾警監瑪麗家中有打鬥痕跡。
"Sorry to hear about Marie, Sonny," Captain Fletcher offers.	弗萊徹警監說：「桑尼，聽到瑪麗的消息我很遺憾。」
"If you boys have a solid lead, now's the time to bring it up."	「你們如果有可靠線索，現在就提出來。」
The Captain takes the victim list from you and begins to read.	警監從你手中接過受害者名單，開始閱讀。
Captain Fletcher Hall says, "While you were out, I dug around in the files and came up with a list of folks who testified against Bains."	弗萊徹．霍爾警監說：「你外出時，我翻查了檔案，整理出一份曾指證班恩斯的人員名單。」
"They are..." he says, reading the list, "Woody Roberts, Don Colby, Marie Wilkans, and Sonny Bonds."	他讀著名單說：「他們是……伍迪．羅伯茲、唐．柯比、瑪麗．威爾肯斯，以及桑尼．邦茲。」
"Huummm." the Captain mumbles. "Everyone on this list testified against Bains, and are now either dead or missing. Except you and Colby."	警監喃喃說：「嗯……名單上的每個人都曾指證班恩斯，如今不是死亡就是失蹤。除了你和柯比。」
"The question is, Sonny: will he go after you or Colby next?"	「問題是，桑尼：他下一個會對你或柯比下手？」
Captain Hall takes the card from you. "So, Bains knows where Colby is!"	霍爾警監從你手中接過卡片。「所以班恩斯知道柯比在哪裡！」
"This chump Bains," he continues, "most likely has kidnapped Marie to use her as a hostage. He's trying to sucker you into another set-up, Bonds."	「這個蠢貨班恩斯，」他繼續說，「很可能綁架瑪麗當人質。他想誘使你，邦茲，再次落入圈套。」
"A maniac like Bains is hard to read, boys," Captain Hall muses. "You've got a blank check to proceed however you feel is best."	霍爾警監沉思道：「班恩斯這種瘋子很難預測。你們可以自行判斷，以你們認為最好的方式行動。」
"Colby's where-abouts are unknown to Bains," Captain Hall thinks aloud, "so Bains will probably stick around to take another crack at you, Sonny."	霍爾警監自言自語：「班恩斯不知道柯比的下落，所以他可能會留下來，再找機會對你下手，桑尼。」
"I'll book this evidence for you. You'd better decide what to do next... and FAST!"	「我會替你登錄這些證物。你最好決定下一步要做什麼……而且要快！」
Your partner Keith takes a deep puff and says:	你的搭檔基斯深吸一口氣說：
"Say, Sonny...I heard that dirtbag you sent up the river last year is back in town for retrial. Isn't his name Bains, or something like that?"	「欸，桑尼……我聽說你去年送進牢裡的那個混蛋回城接受重審了。他是不是叫班恩斯，還是類似的名字？」
"Maybe this time you can put him away for the duration."	「也許這次你能讓他在牢裡待到刑期結束。」
