Yep, it's still there.	沒錯，它還在那裡。
More dirt. More grass. No clues	更多泥土。更多草。沒有線索。
The pond really adds to the scenery, but that's all it does in this game.	池塘確實增添景色，但在這遊戲裡也就只有這個作用。
Let's see...those are cumulo-nimbus clouds....no, they're cirrus clouds....no....	讓我看看……那是積雨雲……不，是卷雲……不……
You wonder if it's going to rain.	你想知道會不會下雨。
You look all around the rock. You find nothing.	你查看岩石四周，什麼也沒找到。
You see a beautiful assortment of pansies.	你看見一片美麗的三色堇。
It's a garden plant derived chiefly from the wild pansy of Europe, a type of wild violet.	這是主要源自歐洲野生三色堇的一種園藝植物，屬於野生堇菜。
We don't want you to UNbeautify the area.	我們不想讓你破壞這片區域的美景。
The rocks are buried in the ground, and you don't have either the time or the earth-moving equipment.	岩石埋在地裡，你既沒有時間也沒有挖土設備。
There isn't a need to do that...so don't!	沒必要那樣做……所以別做！
You haven't finished your search of the park yet.	你還沒完成公園搜索。
It's only the tip of a large granite boulder. You couldn't move it.	這只是巨大花崗岩的尖端。你無法移動它。
You key the walkie-talkie, trying to raise Keith....you pause to listen, and then you hear...	你按下對講機試圖聯絡基斯……你停下聆聽，然後聽到……
Yeow! That was a close one! You'd better watch out that you don't fall into the open manhole.	哎呀！真驚險！你最好小心，別掉進敞開的下水道。
The park is pretty this time of year. The air is sweet and clear, except near the manhole cover.	每年這個時節公園都很漂亮。空氣清新甜美，只有下水道蓋附近不是。
It used to be part of the 17th hole at the old Steelton Golf Links. It's very nice sand, but you see nothing unusual.	它過去是老 Steelton 高爾夫球場第 17 洞的一部分。沙子很漂亮，但你看不出異常。
You look closely at the tree, but you can't find anything that even resembles a clue.	你仔細查看樹木，但找不到任何像線索的東西。
You admire the beauty of the shrubbery, but you see nothing out the ordinary.	你欣賞灌木的美，但看不出任何異常。
Meteorologists tell us that it's called the "sky".	氣象學家告訴我們，那叫「天空」。
You see a beautiful assortment of chrysanthemums.	你看見一片美麗的菊花。
It's an ornamental plant, grown for its brightly colored, often double flower head.	這是一種觀賞植物，因色彩鮮豔、常有重瓣花頭而栽培。
The fluffy white clouds remind you of the cotton balls in Marie's makeup kit.	蓬鬆的白雲讓你想起瑪麗化妝包裡的棉球。
Looking at the ground you see...	你查看地面，看見……
...a manhole cover!	……一個下水道蓋！
