Don't stand underneath them....you know why!	別站在它們底下……你知道為什麼！
You've looked at your partner so often, you don't think about it too much. Is he getting a little paunchy?	你太常看自己的搭檔，已經不太會注意了。他是不是有點發福？
It's lighted at night to help prevent muggings.	夜間會亮起，幫助防止搶劫。
Good kite-flying weather.	適合放風箏的天氣。
Was that an earthworm?	那是蚯蚓嗎？
You see a beautiful assortment of nasturtiums.	你看見一片美麗的旱金蓮。
It's an herb with showy spurred flowers and pungent seeds.	這是一種有醒目距狀花朵和辛辣種子的草本植物。
There are several reasonably new redwood picnic tables in this part of the park.	公園這一區有幾張相當新的紅木野餐桌。
The chain link fence marks the park boundary.	鐵絲網標示公園邊界。
Its a white cloud. Definitely.	那是白雲。肯定的。
A typical park rock, of no value to you.	普通的公園石頭，對你沒有價值。
You're not an Indian scout, Sonny Bonds. You're a homicide detective, remember?	你不是印第安偵察員，桑尼．邦茲。你是命案警探，記得嗎？
No time to relax, Sonny. Marie's life is in jeopardy.	沒時間放鬆，桑尼。瑪麗的生命正受到威脅。
You think to yourself..."Hey! That table would look great next to my barbecue, and I could.....Darn it! My mind's wandering again!"	你心想……「嘿！那張桌子放在我的烤肉架旁一定很棒，而且我可以……該死！我又分心了！」
If you don't get on with it, Sonny, you'll be picking flowers for your girl friend's grave.	桑尼，如果你不趕快行動，就只能去女朋友的墳上獻花了。
It wouldn't help you in any way to climb the fence.	爬籬笆對你沒有任何幫助。
The only thing you might get by moving the rock is a hernia.	搬動岩石唯一可能得到的是疝氣。
The rocks are buried in the ground, and you have neither the time nor the earth-moving equipment.	岩石埋在地下，你既沒有時間也沒有挖土設備。
You think to yourself..."Why not? I could take it home as a souvenir and mount it in my.....WAIT! What am I thinking about?"	你心想……「為什麼不？我可以帶回家當紀念品，裝在我的……等等！我在想什麼？」
They're good for fishing, but they don't catch crooks!	它們適合釣魚，但抓不到罪犯！
Back home in Lytton...	回到萊頓……
You have been placed on a mandatory three-day administrative leave of absence, resulting from the shooting death of Jessie Bains.	由於傑西．班恩斯遭槍擊死亡，你被強制行政休假三天。
You spend needed leisure time with Marie and await results from the Lytton PD Internal Affairs shooting review board.	你和瑪麗共度所需的休息時間，等待萊頓警察局內務射擊審查委員會的結果。
The three days finally pass, and now the findings, conclusions, and recommendations from the shooting review board are as follows....	三天終於過去，射擊審查委員會的調查結果、結論與建議如下……
THE REVIEW BOARD FINDINGS:	審查委員會調查結果：
