The new computer system is the latest in crime-fighting technology.	這套新電腦系統是目前最先進的犯罪防治科技。
COMMAND>	指令>
Session Complete.	工作階段完成。
Calm down. You have no need of your gun here.	冷靜。你在這裡不需要拔槍。
PASSWORD:	密碼：
ACCESS DENIED!	拒絕存取！
NAME - Gelepsi, Mario. BADGE - 5557428. DOB - 4/10/45. DEPARTMENT- Traffic Div. POSITION - Traffic Off. APPOINTED - 12/15/70. STATUS - Active. DEPARTMENTAL ACTIONS Commendable citations 3/1/75-Officer Gelepsi was presented with the "Outstanding Effort" award, for the recovery	姓名——馬里奧．葛雷普西。警徽號碼——5557428。出生日期——1945/4/10。部門——交通組。職務——交通警員。到職日期——1970/12/15。狀態——在職。勤務紀錄　嘉獎：1975/3/1——葛雷普西警員因追回
of 11 stolen vehicles in one 12 month period. Censurable Reports ALLEGATIONS: 2/3/73-The complaining party alleged that after being stopped for a traffic violation, Officer Gelepsi became belligerent and verbally abusive. FINDINGS: Not sustained: There was no supporting evidence.	一年內追回 11 輛失竊車輛，獲頒「傑出努力」獎。申誡紀錄　指控：1973/2/3——申訴人稱因違規遭攔停後，葛雷普西警員態度挑釁並出言辱罵。調查結果：不成立——沒有佐證。
NAME - Haines, Calvin BADGE - 5558013 DOB - 9/20/39 DEPARTMENT- Traffic Div. POSITION - Traffic Off. APPOINTED - 12/15/61 STATUS - Active DEPARTMENTAL ACTIONS Commendable citations 3/1/77-While working alone, Officer Haines was dispatched to Cotton Cove to investigate a	姓名——卡爾文．海恩斯。警徽號碼——5558013。出生日期——1939/9/20。部門——交通組。職務——交通警員。到職日期——1961/12/15。狀態——在職。勤務紀錄　嘉獎：1977/3/1——海恩斯警員獨自值勤時，奉派前往棉花灣調查一名
report of one white male subject harassing fishermen in the area. Upon Haines' arrival, he observed one nude white male subject approaching his unit. Before Haines could react, the subject reached through the open drivers window and ripped Officer Haines' badge off his uniform. The subject then tossed the badge into	白人男子騷擾當地漁民的報案。海恩斯抵達後，看見一名裸體白人男子朝他的警車走來。海恩斯還來不及反應，對方就從敞開的駕駛座車窗伸手，扯下海恩斯警員制服上的警徽，接著把警徽丟進
the river. Officer Haines successfully subdued and cuffed the subject, who was under the influence of PCP. NOTE: Several attempts at recovering Officer Haines' badge were unsuccessful. Censurable Reports: None.	河裡。海恩斯警員成功制伏並銬上那名受 PCP 影響的男子。備註：數次嘗試尋回海恩斯警員的警徽均未成功。申誡紀錄：無。
