You put the white wire together.	你把白線接回去。
You put the yellow wire together.	你把黃線接回去。
You put the purple wire together.	你把紫線接回去。
You announce to everyone that you have successfully disarmed the bomb.	你向所有人宣布已成功解除炸彈。
Everyone cheers and offers words of praise.	所有人歡呼並稱讚你。
Keith says, "Well done, Sonny. I couldn't have done a better job myself!"	基斯說：「做得好，桑尼。我自己也不可能做得更好了！」
The captain comes over the intercom and says, "We are now landing. Please sit down and buckle your seatbelts."	機長透過對講系統說：「我們現在要降落。請坐下並繫好安全帶。」
The captain announces, "We are now on the ground."	機長廣播：「我們現在已經落地。」
"Let's get off this plane, Sonny." Keith says. "I've had enough excitement for a while."	「下飛機吧，桑尼。」基斯說。「我暫時已經受夠刺激了。」
The Deputy Sky Marshall walks up and says..."My My, Son! What in heavens name did y'all get into here?"	副空警走過來說……「我的天，孩子！你們到底遇上什麼事了？」
With your heart pounding and your voice breaking, you explain in detail the events surrounding the attempted hijacking.	你心臟狂跳、聲音顫抖，詳細說明這起劫機未遂事件的經過。
You give the Sky Marshall the paper and wire clippers, telling how you disarmed the bomb.	你把紙張和剪線鉗交給空警，說明自己如何解除炸彈。
The Deputy Sky Marshall, after taking down your statement, says... "Well, it looks like a job well done to me feller. Y'all go right ahead on with your business, and we'll finish cleaning up this mess."	副空警記下你的口供後說……「嗯，老兄，在我看來你們做得很好。你們儘管繼續辦事，我們會把這團亂收拾乾淨。」
You and Keith leave the plane, and search around Steelton. You talk to the Steelton police and they are unable to help you.	你和基斯離開飛機，在 Steelton 四處搜索。你們詢問 Steelton 警方，但他們無法幫忙。
You and Keith find that Colby has been murdered, but there are no clues.	你和基斯發現柯爾比遭到殺害，但沒有任何線索。
Two days later, the Steelton police find Marie's body in a gutter, with multiple gun shot wounds to the head.	兩天後，Steelton 警方在排水溝找到瑪麗的屍體，頭部有多處槍傷。
It really would have been a good idea to call the Steelton police before you arrived - just like the Captain suggested.	你抵達前先打電話給 Steelton 警方，確實會是個好主意——正如警監建議的那樣。
You and Keith leave the airplane, and are met at the airport by Officer Jarvis Pitman.	你和基斯離開飛機，在機場遇到賈維斯．皮特曼警官。
He provides you with transportation to the Police Station.	他提供交通工具送你們到警察局。
Name: Jim Walls	姓名：Jim Walls
Weight: 200 lbs	體重：200 磅
Height: 5'10"	身高：5 呎 10 吋
Hair: Light Brown	頭髮：淺棕色
Eyes: Green	眼睛：綠色
Wanted: For excessive verbosity	通緝原因：過度冗長
