Find some, first.	先找點東西吧。
This vent is equipped with an electric fan, designed to remove offensive odors.	這個通風口裝有電風扇，用來排除難聞的氣味。
It appears to be doing its job well.	看來它運作得很好。
You look in the drain and see nothing important.	你查看排水孔，沒看見重要的東西。
He appears to be a rather tall gentleman.	他似乎是位相當高大的先生。
There is a cabinet which hides the pipes.	有個櫃子遮住管線。
It's mostly for decoration.	主要是裝飾用的。
They're hidden.	它們被藏起來了。
The stall doors are uniformly uninteresting.	每扇廁所隔間門都同樣無趣。
You'll have to leave the stall to get a good look at it.	你得離開隔間，才能看清楚它。
It's handy for washing the hands. The soap dispensers are empty, however.	這是洗手用的。不過，洗手乳分配器是空的。
Empty.	空的。
It's shiny, and it DOES have paper towels in it.	它很亮，而且裡面確實有擦手紙。
It's shiny. You wonder who invented the concept.	它很亮。你想知道是誰發明這個概念的。
You look up and see the usual bathroom ceiling with flourescent lighting fixtures.	你抬頭看見普通的浴室天花板，上面裝著日光燈。
You see a toilet mounted to the tile floor.	你看見一座固定在磁磚地板上的馬桶。
You see a clean tile floor with a water drain in the middle.	你看見乾淨的磁磚地板，中間有排水孔。
It's a 4" Smith and Wesson .38 caliber K-38 revolver, Serial# 5557763.	這是一把四吋 Smith and Wesson .38 口徑 K-38 左輪手槍，序號 5557763。
Quit being so vain.	別這麼自戀。
You'll have to turn around to see the mirror.	你得轉身才能看到鏡子。
You can't see much from the outside. Better open one first.	從外面看不清楚。最好先打開一扇。
The toilets are in the stalls, and you're not.	馬桶在隔間裡，而你不在。
You look around the public rest room but the only unusual thing you notice is that it's cleaner than most. Good old Lytton!	你環顧公共洗手間，唯一注意到的異常是它比大多數洗手間乾淨。萊頓真不錯！
It's locked, you don't have the key, and you don't need anything out of the cabinet.	它鎖著，你沒有鑰匙，而且你不需要櫃子裡的任何東西。
There aren't any. The fan works.	沒有。風扇運作正常。
