Score: %d of %d Police Quest 	分數：%d / %d《警察故事》
POLICE QUEST In The Pursuit Of The Death Angel Enter the brutal world of vice, drugs and homicide. Handle traffic violators, attend briefings. Stop the flood of illegal drugs that is destroying the community. Ages 18 and up.	《警察故事：追捕死亡天使》踏入犯罪、毒品與命案的殘酷世界。處理交通違規者，參加案件簡報。阻止摧毀社區的非法毒品洪流。適合18歲以上。
KINGS QUEST I Quest For The Crown The original history- making adventure game. Be Sir Graham, bravest of the Knights. Locate lost treasures. Return them to King Edward to restore kingdom's lost prosperity. In the end, you may inherit the throne.	《國王密使 1：王冠追尋》最初的歷史冒險遊戲。成為最勇敢的騎士葛拉漢爵士。尋找失落的寶藏，歸還給愛德華國王，恢復王國失去的繁榮。最後，你或許會繼承王位。
KINGS QUEST II Romancing The Throne Explore caves, eerie castle towers, and ocean wonderlands. Help King Graham unlock the secrets that will lead him to the enchanted maiden for whom he longs.	《國王密使 2：王座羅曼史》探索洞穴、詭異的城堡高塔與海洋仙境。幫助葛拉漢國王解開秘密，找到他朝思暮想的魔法少女。
KINGS QUEST III To Heir is Human Become Gwydion, young slave to the evil wizard Manannan of Llewdor. Discover the wizard's spells. Embark upon dangerous voyages to distant lands. Free a Kingdom from its ravages.	《國王密使 3：王位傳人》成為格威迪恩，邪惡巫師曼南南的年輕奴隸。發現巫師的咒語，踏上前往遙遠土地的危險旅程，將王國從他的蹂躪中解放。
KINGS QUEST lV The Perils of Rosella Travel with Rosella, the beautiful princess and heroine of King's Quest lV. Journey to a town far away. Search for the enchanted fruit that will restore life to her father and safely return her home. Meet creatures from ancient legend, from	《國王密使 4：蘿賽拉的危險旅程》與美麗的公主兼主角蘿賽拉同行。前往遙遠城鎮，尋找能讓她父親復活並安全帶她回家的魔法水果。遇見古老傳說中的生物，從
beautiful unicorns to hideous ogres. Acquire treasures that are necessary to ensure your safety. Save Genesta from imminent death by destroying the evil Lolotte and returning the sacred talisman which once rested around her neck.	美麗獨角獸到醜陋食人魔。取得保障安全所需的寶物。摧毀邪惡的洛洛特，歸還曾掛在她脖子上的神聖護身符，拯救即將死亡的吉妮絲塔。
SILPHEED Defend the United Universe as the pilot of Silpheed, Super Dogfighter. Combine strategy with dexterity. Silpheed becomes even more powerful by acquiring new weapons and shields. The longer you survive, the stronger Silpheed (and the adversaries) become. 20 levels of action. 9 original musical scores.	《銀翼殺手》駕駛超級戰鬥機銀翼殺手，保衛聯合宇宙。結合策略與技巧，取得新武器和護盾讓銀翼殺手更強大。存活越久，銀翼殺手與敵人就越強。20個動作關卡，9首原創音樂。
MANHUNTER This science fiction epic is a dark vision of our planet's future. Manhunter evolves around the life of a detective in New York City two years after alien invasion and consequent world takeover. The 'hero' of the story is contracted by the newly founded alien	《追捕者》這部科幻史詩描繪了地球未來的黑暗景象。故事圍繞外星人入侵並接管世界兩年後，紐約市一名警探的生活展開。故事的「英雄」受新成立的外星
dictatorship as a bounty hunter. His goal is to track down and destroy a ring of human saboteurs and militants out to end the alien rule. In the end, will you be on the side of evil, or good? You decide.	獨裁政權僱用為賞金獵人。他的目標是追蹤並摧毀一群企圖終結外星統治的人類破壞者與武裝分子。最後，你會站在邪惡還是正義的一方？由你決定。
THEXDER Pilot an armored robot- jet transformer vehicle. Change from a robot to a jet instantly, as you fly through multiple attack scenarios. Go through innumerable mazes and secret passages while avoiding booby traps, mazes, and over twenty different types of alien machines.	《雷霆戰機》駕駛裝甲機器人噴射變形載具。穿越多種攻擊場景時，瞬間在機器人與噴射機間變形。避開陷阱、迷宮與二十多種外星機器，穿越無數迷宮和秘密通道。
GOLD RUSH! Join the Gold Rush! Sell your land, and grab the next ride out, because your fortune lies 2000 miles away. Relive America's most exciting era by traveling to the gold fields of California by any of the three perilous routes used at that time. Each of the trips is dangerous, historically and geographically accurate, and educational.	《淘金熱！》加入淘金熱！賣掉土地，搭上下一班車，因為你的財富在兩千英里外。沿著當時使用的三條危險路線之一前往加州金礦區，重溫美國最刺激的時代。每條路線都危險，且符合歷史與地理，兼具教育意義。
MIXED-UP MOTHER GOOSE Go on an adventure in Mother Goose land. Find missing pieces to some of her most popular rhymes. When the pieces are found, the rhyme is acted out. No reading skills are required. Ages 4 and up	《混亂的鵝媽媽》在鵝媽媽的國度冒險。找回她最受歡迎童謠中遺失的片段。找到片段後，童謠就會演出。不需要閱讀能力。適合4歲以上。
SPACE QUEST The Sarien Encounter Become Roger Wilco in this action-packed, tongue-in-cheek, space thriller. Recover the stolen Star Generator and save your home planet.	《太空任務：薩里恩遭遇戰》在這部充滿動作又風趣的太空驚悚片中，成為羅傑．威爾柯。找回被偷走的星際發電機，拯救你的母星。
SPACE QUEST II Vohaul's Revenge Come face to face with Sludge Vohaul, the mad scientist. Encounter Vohaul's wrath. Explore the jungle planet of Labion and much more! Many puzzles and strange creatures await you.	《太空任務 2：沃豪爾復仇》面對瘋狂科學家史拉吉．沃豪爾，承受沃豪爾的怒火。探索拉比昂叢林星球，還有更多冒險！許多謎題與奇異生物正等著你。
SPACE QUEST III Battle the infamous Pirates of Pestulon as Roger Wilco continues his career as space-hero and part-time janitor. Help Roger survive the most bizarre dangers yet! The latest in the hit Space Quest series.	《太空任務 3》羅傑．威爾柯繼續兼任太空英雄與清潔工，迎戰臭名昭著的佩斯圖隆海盜。幫助羅傑撐過至今最怪異的危險！暢銷《太空任務》系列最新作。
LIESURE SUIT LARRY IN THE LAND OF THE LOUNGE LIZARDS Become the lovable nerd Larry, and spend one fabulous night in Lost Wages. You'll drink. You'll dance. And if you play your cards right, you might even meet the girl of your dreams. Ages 18 and up	《休閒西裝拉瑞：酒吧蜥蜴之地》成為討人喜愛的書呆子拉瑞，在失落賭城度過精彩一夜。喝酒、跳舞，如果牌打得好，甚至可能遇到夢中情人。適合18歲以上。
LIESURE SUIT LARRY II LOOKING FOR LOVE IN SEVERAL WRONG PLACES Become the lovable nerd Larry ONE MORE TIME! Win $1,000,000 a year for life! Win a fabulous cruise with a beautiful woman!! Wish you were back in Lost Wages counting your breath mints!!!	《休閒西裝拉瑞 2：在幾個錯誤地方尋找愛情》再一次成為討人喜愛的書呆子拉瑞！贏得終身每年一百萬美元！和美女贏得精彩郵輪之旅！真希望你回到失落賭城數你的薄荷糖！！！
#1. This board recommends immediate cancellation of administrative leave, therefore returning Detective Bonds to permanent active status.	#1. 本委員會建議立即取消行政休假，讓邦茲警探恢復永久現役身分。
#2. Detective Sonny Bonds will receive Lytton Police Department's "Silver Commendation Award" for superior effort and performance while engaged in a life-threatening situation.	#2. 桑尼．邦茲警探將獲頒萊頓警察局「銀質嘉獎獎章」，表彰他在危及生命的情況下所展現的卓越努力與表現。
#3. This board recommends that Detective Sonny Bonds participate in a two week "Rest and Relaxation" period prior to returning to duty.	#3. 本委員會建議桑尼．邦茲警探在返回勤務前，接受兩週「休息與放鬆」假期。
