Simulated metal exterior.	仿金屬外殼。
You look very closely, but you see nothing remarkable.	你仔細查看，但沒有發現任何特別之處。
Three-speed automatic.	三速自動排檔。
The wheel has a wrap-around cover; the column contains accessory controls.	方向盤套著環繞式護套；轉向柱上有配件控制裝置。
The horn ring is in the lower half of the steering wheel.	喇叭環位於方向盤下半部。
Somebody has been using it.	有人使用過它。
You see some cookie crumbs and an occasional dead leaf. There is nothing significant.	你看到一些餅乾屑，還有幾片枯葉。沒有重要發現。
The seats are made of soft, dark blue cloth. They are empty.	座椅是柔軟的深藍色布料製成，裡面是空的。
There is nothing at all unusual about the doors.	車門完全沒有異常之處。
The vinyl is in excellent shape.	乙烯基內裝保存得非常好。
You can't search it yet. It's closed.	你現在還不能搜索。它是關著的。
OK. You search, but you find nothing.	好。你搜索過了，但什麼也沒找到。
Nothing unusual at all. No obvious evidence.	完全沒有異常。沒有明顯證物。
You reach into, under, and around the front and back seats, but you come up empty-handed.	你伸手查看前後座椅內、下方和周圍，但一無所獲。
Not even a partial print.	連部分指紋都沒有。
You carefully dust the glove box, but there are no useful impressions.	你仔細替手套箱撒上指紋粉，但沒有有用的指紋痕跡。
Nice try! The steering column is chromed and shiny, but the prints are too smeared to be readable.	試得不錯！轉向柱鍍鉻而且光亮，但指紋太模糊，無法辨讀。
The textured surface won't take a print.	有紋理的表面無法留下指紋。
It's too smeared for a clear impression.	它太模糊，無法形成清晰痕跡。
There is so much ash that it looks like it's already been dusted for prints. You find nothing useful.	灰燼多到像是已經撒過指紋粉。你沒有找到任何有用東西。
No good prints here!	這裡沒有清晰指紋！
You carefully dust the rear view mirror, and come up with one good print.	你仔細替後視鏡撒上指紋粉，找到一枚清晰指紋。
You found a good print there already.	你已經在那裡找到一枚清晰指紋了。
You can't dust the car for prints. You don't have your field kit.	你無法替車子撒粉採指紋。你沒有帶現場勘查箱。
You go home and spend a boring and restless evening as you contemplate the events of the day. Eventually you drift off to sleep, wondering why you never called Marie for a date.	你回家後，一邊回想今天發生的事，一邊度過無聊而焦躁的一晚。最後你迷迷糊糊睡著，納悶自己為什麼一直沒打電話約瑪麗。
Since you were not in the mood, you've let a nice, romantic evening with Marie slip through your fingers. She left the restaurant more than a little upset, and you wonder how you're going to talk your way out of this one! Meanwhile, you must get back to the task at hand.	因為你沒有那個心情，你讓和瑪麗共度美好浪漫夜晚的機會從指間溜走。她相當不高興地離開餐廳，而你不知道要怎麼把這件事圓過去！同時，你必須回到眼前的任務。
Although the meal was nice, and you had great fun with Marie, you must get back to the task at hand. You pay the waiter for your meal, leave him a generous tip, and see Marie home to her house.	雖然餐點很棒，你和瑪麗也玩得很開心，但你必須回到眼前的任務。你付了餐費，給服務生一筆豐厚小費，再送瑪麗回家。
Uh-oh! It seems you've spent too much of your ready cash. Even worse than that, you're overextended on your credit cards. Embarrassed, because you're broke, you ask the waiter if he has any dishes to wash. Marie sits at the table, embarrassed, while you wash, dry, and think about the case you're working on.	糟糕！看來你把身上的現金花得太多了。更糟的是，你的信用卡也超出額度。你身無分文，尷尬地問服務生有沒有盤子要洗。瑪麗尷尬地坐在桌旁，而你一邊洗盤、擦乾，一邊思考正在辦的案子。
The meal was great, you had a lot of fun with Marie, but you must get back to the task at hand. You see Marie home.	餐點很棒，你和瑪麗也玩得很開心，但你必須回到眼前的任務。你送瑪麗回家。
The meal is barely noticed as you and Marie take advantage of the precious moment. You see her home, and the rest is history.....!	你和瑪麗把握珍貴時光，幾乎沒注意到餐點。你送她回家，接下來的事就成了美好回憶……！
Well, Sonny Bonds! No one will ever know why you walked out on your girl at Arnie's Restaurant, but you must know how badly you hurt Marie's feelings. You will have to deal with your guilt as you work on the task at hand.	哎呀，桑尼．邦茲！沒人會知道你為什麼在阿尼餐廳丟下女伴離開，但你一定知道自己多麼傷害瑪麗的感情。你得一邊處理眼前的任務，一邊面對自己的罪惡感。
The next day....	隔天……
You have entered the City of Steelton's underground sewer complex. The dampness and subdued light gives you an eerie feeling...	你進入了鋼頓市的地下下水道系統。潮濕的空氣和昏暗的光線讓你感到一陣詭異……
It's an ordinary ladder.	這是一架普通的梯子。
You aren't on the ladder.	你不在梯子上。
You can't go any further up.	你無法再往上爬了。
You step into the path of high pressure water being released from the surface...	你踏入了從地面釋放出的高壓水流路徑……
And you're swept into the sewer . Your head hits hard during the fall, rendering you unconscious...	你被沖進下水道。墜落時頭部受到重擊，失去了意識……
Unfortunately for you, the sewer does the rest.	不幸的是，下水道替你完成了後續。
You drown in the sewer because of an unfortunate accident. Next time, try to minimize the chance of it happening again.	你因為一場意外在下水道溺斃。下次請設法降低這種事再次發生的機會。
You seem to have made it through the pocket of deadly methane gas.	你似乎已經穿過致命甲烷氣體形成的區域。
You seem to have passed through the deadly gas. You can take off your mask.	你似乎已經穿過致命氣體。你可以摘下面罩了。
You don't see any bugs here.	你沒看到這裡有蟲子。
