Hi Marie, this is Sonny.	嗨，瑪麗，我是桑尼。
What's wrong, Sonny? You seem to be in a bad mood. Well, I guess I'll go alone.	怎麼了，桑尼？你似乎心情不好。好吧，那我自己去好了。
What are you talking about, Sonny?	桑尼，你在說什麼？
So are you gonna meet me at Arnies?	所以你要在阿尼餐廳跟我碰面嗎？
"10-4, 53Mary2." Dispatch crackles back. "Attention all units..."	「10-4，53Mary2。」勤務中心傳來沙沙聲。「所有單位注意……」
"Update on jail break...per 53mary2, Jessie Bains may now be armed with the correctional officer's gun...approach with caution."	「更新越獄消息……根據53mary2回報，傑西．班恩斯現在可能持有矯正員警槍械……接近時務必小心。」
Keith advises dispatch of the stolen car information and requests notification to all units.	基斯向勤務中心報告失竊車輛資料，並要求通知所有單位。
"53mary2...10-4." Dispatch says.	「53mary2……10-4。」勤務中心說。
"Attention all units!" Dispatch transmits..."Be on the lookout for one black 1986 4-door mid-size station wagon stolen from Oak Tree Mall. A partial plate of C035 was given."	「所有單位注意！」勤務中心通報……「注意一輛從橡樹購物中心失竊的黑色1986年四門中型旅行車。已知部分車牌為 C035。」
Keith grabs the mike... "Dispatch.. 53Mary2 requesting the coroner at our 10-20..."	基斯拿起麥克風……「勤務中心……53Mary2 要求法醫前往我們的10-20……」
Dispatch answers... "10-4, 53Mary2. Be advised... the coroner will be dispatched to your 10-20 when available."	勤務中心回答……「10-4，53Mary2。請注意……法醫有空時將派往你們的10-20。」
"Dispatch.. 53Mary2 requesting one search warrant for room #108, at our 10-20."	「勤務中心……53Mary2 要求一份108號房的搜索票，送到我們的10-20。」
"10-4, 53Mary2. Be advised...a search warrant will be obtained and delivered to your 10-20."	「10-4，53Mary2。請注意……搜索票將取得後送到你們的10-20。」
"I'd quit smoking, but I've invested SO much into cigarettes over the years, I'd hate to see it all go up in smoke! (ha ha ha)"	「我本來想戒菸，但這些年在香菸上投資太多了，真不想看它們全都化為煙霧！（哈哈哈）」
"Well, I never thought I'd see the day when Sonny Bonds would infringe upon the CONSTITUTIONAL rights of his very own PARTNER!"	「我真沒想過會有一天，桑尼．邦茲竟然侵犯自己搭檔受憲法保障的權利！」
"Smoking helps me think. Sherlock Holmes wouldn't have been able to deduce Watson's hat size without his pipe!"	「抽菸能幫助我思考。沒有煙斗，夏洛克．福爾摩斯也不可能推理出華生的帽子尺寸！」
"I'll just inhale all the smoke and keep it in my lungs. OK? OK!"	「我只要把煙全吸進去留在肺裡。好嗎？好！」
"I don't know what you're complaining about! I filter the smoke with my lungs first, you know."	「我不知道你在抱怨什麼！你知道嗎，我可是先用肺把煙過濾掉。」
"How many times have I saved your life, huh partner? And now... now, when I need a little consideration from you, you turn on me."	「搭檔，我救過你幾次命，嗯？現在……現在我需要你稍微體諒我，你卻反過來對付我。」
"Well, if I didn't smoke, we'd BOTH be nervous wrecks! One of us has to keep his mental faculties sharp."	「如果我不抽菸，我們兩個都會神經兮兮！總得有一個人保持頭腦清醒。」
You could dry it out and use it for firewood. It's worthless for anything else.	你可以把它弄乾當柴燒，除此之外沒有任何用途。
It's of no use to you...the wine is long gone.	它對你沒用……裡面的酒早就沒了。
It's of no use to you...the beer that was in it is long gone.	它對你沒用……裡面的啤酒早就沒了。
You don't need it...the candy that was in it is long gone.	你不需要它……裡面的糖果早就沒了。
It's a worthless piece of junk and of no value to you.	這是毫無價值的垃圾，對你沒有用處。
No matter how hard you pull, it doesn't budge.	不管你多用力拉，它都紋風不動。
"OH NO!" you think..."I'm caught in the current!". You realize...too late!...that the current through the rocks on this side of the river is much too strong!	你心想：「喔，不！」……「我被水流困住了！」你太晚才發現……這側河流穿過岩石的水流實在太強！
You move the rocks, exposing a human hand...	你移開岩石，露出一隻人手……
Startled, you jerk backwards!	你受到驚嚇，猛然向後退！
Regaining your composure, you take a closer look. It appears a body is wedged into the rocks.	你恢復鎮定後仔細查看。看起來有具屍體卡在岩石間。
Your diving partner notices you have found something, and he swims over to you. You take one side and your partner the other. Together you pull the body from the river.	你的潛水搭檔注意到你發現了東西，游到你身邊。你們一人抓住一側，一起把屍體從河裡拉出來。
Before exiting, you put on some scuba equipment, and you leave everything else you have in the van.	離開前，你穿上潛水裝備，把其他所有東西留在廂型車裡。
Choose one of the tanks first.	先選一個氣瓶。
In the van are various items used for diving.	廂型車裡有各種潛水用品。
You see some yellow air tanks, one gray tank, %s %s %s %s and fins.	你看到幾個黃色氣瓶、一個灰色氣瓶、%s %s %s %s 和蛙鞋。
The tanks contain compressed air used for scuba diving.	氣瓶裡裝著水肺潛水用的壓縮空氣。
You may choose one of the yellow tanks. Which would you like; number 1, 2, or 3?	你可以選一個黃色氣瓶。你要哪個？1號、2號還是3號？
It is made of sturdy material and filled with lead weights. It is used to overcome bouyancy.	它由堅固材料製成，裡面裝滿鉛塊，用來克服浮力。
You can inflate it (from your tank) or deflate it to control your depth.	你可以替它充氣（從氣瓶充入）或放氣，以控制下潛深度。
They help you to swim like a fish.	它們能幫助你像魚一樣游泳。
It's made of black rubber with a shatterproof glass faceplate. It's invaluable for keeping water and debris out of your eyes.	它由黑色橡膠製成，配有防碎玻璃面罩，能有效防止水和碎屑進入眼睛。
The wet suit is made of thick rubber. It provides bouyancy and insulation.	防寒潛水衣由厚橡膠製成，提供浮力與隔熱。
Looking out the window reminds you that Officer Moore is waiting for you.	望向窗外讓你想起摩爾警員正在等你。
You already have that tank.	你已經有那個氣瓶了。
