On your way back to the office, Keith says..."Man, that punk Bains is a slick rat, isn't he?"	回辦公室的路上，基斯說……「那個班恩斯真是隻狡猾的老鼠，對吧？」
Keith sniffs the air and says... "Gracious me, buddy boy! You've got the car smelling like a rose garden."	基斯聞了聞空氣，說……「天啊，老兄！你把車裡弄得像玫瑰園一樣香。」
"Whatcha gonna do with that foilage?" Keith asks.	「你打算拿那些花草怎麼辦？」基斯問道。
Keith comments..."I thought you two were getting a little serious. I guess I was right."	基斯評論道……「我就覺得你們兩個有點認真了。看來我猜對了。」
"Boy!" Keith says..."After yesterday, I was hoping for a slow day."	「天啊！」基斯說……「經過昨天，我本來希望今天能平靜一點。」
"I'll advise Dispatch," Keith says, grabbing the mike... "Dispatch...53Mary2... we're responding to 753 Third Street for follow up."	「我向派遣中心回報，」基斯拿起麥克風說……「派遣中心……53Mary2……我們正前往第三街 753 號進行後續調查。」
Dispatch responds..."10-4... 53Mary2 rolling to 753 Third St for 187 follow up."	派遣中心回覆……「10-4……53Mary2 前往第三街 753 號進行 187 後續調查。」
"I think we may be getting somewhere, partner." Keith says.	「我想我們可能快有進展了，夥伴。」基斯說。
"We'd better watch our butts when we get there." Keith says.	「到那裡後我們最好小心點。」基斯說。
Keith says..."I hope this lead isn't a dead end."	基斯說……「我希望這條線索不是死路。」
Keith keys the mike and informs Dispatch of the bad news.	基斯按下麥克風，將壞消息通知派遣中心。
"Dispatch...53Mary2...We are 10-8 in route to office. Be advised we have found signs of struggle."	「派遣中心……53Mary2……我們 10-8，正在返回辦公室。請注意，我們發現了打鬥痕跡。」
"It appears the occupant of the house, one Marie Wilkans has been kidnapped. Please advise the Captain."	「看來屋主瑪麗．威爾肯斯遭到綁架。請通知警監。」
"53Mary2..We copied the possible 207 kidnap, and will 10-5 the information to 53Mary1."	「53Mary2……收到疑似 207 綁架案，我們將以 10-5 把資訊轉達給 53Mary1。」
Keith manages an encouraging smile. "We'll get her back, Sonny."	基斯勉強露出鼓勵的笑容。「我們會把她救回來，桑尼。」
"Dispatch...53Mary2...we are 10-6, enroute to airport."	「派遣中心……53Mary2……我們 10-6，正在前往機場。」
"53Mary2 10-4. Copied 10-6 enroute to airport."	「53Mary2，10-4。收到 10-6，前往機場。」
"Well, ole buddy, ole pal!" Keith says..." Here's hoping we make it back alive."	「好了，老夥伴、老朋友！」基斯說……「希望我們能活著回來。」
"I don't care what you say." Keith says..."I'm having another cigarette before I board that plane."	「不管你怎麼說。」基斯說……「登機前我要再抽一根菸。」
"Dispatch...53Mary2." Keith says.."We are 10-7 at the airport and will see you when we get home."	「派遣中心……53Mary2。」基斯說……「我們在機場 10-7，回家後再見。」
You listen as the radio comes alive with your call number... "53mary2, Dispatch...we have further traffic for you."	你聽見無線電傳來你的呼號……「53mary2，這裡是派遣中心……有進一步通報給你。」
Keith grabs the mike and answers... "Dispatch...53mary2. Go ahead with your traffic."	基斯拿起麥克風回答……「派遣中心……53mary2。請說明通報。」
"53mary2, 10-4" dispatch continues..."Traffic Officer Haines has located a vehicle belonging to the correctional officer at Oak Tree Mall."	「53mary2，10-4，」派遣中心繼續說……「交通警員海恩斯在老橡樹購物中心找到一輛屬於矯正員警的車。」
Continuing, "Per Captain Hall, respond to that 10-20 and 11-98 with Officer Haines...Dispatch clear."	接著說：「依霍爾警監指示，與海恩斯警員一同前往該 10-20，並進行 11-98……派遣中心完畢。」
After acknowledging the radio call, Keith mumbles to Sonny..."Well, you heard it, big boy. Let's roll!"	確認無線電通話後，基斯對桑尼喃喃說……「好了，大個子，你都聽到了。出發！」
