DIR? >	目錄？>
Hello, Sonny. Can I help you?	嗨，桑尼。我能幫你嗎？
You hear Officer Mills' voice boom from the PA system...	你聽見米爾斯警員的聲音從廣播系統傳來……
"Bonds, find a booth and stop bothering the other officers!"	「邦茲，找個射擊台，別再打擾其他警員！」
As you walk out from the booth, you take off your ear protectors.	你走出射擊台，摘下護耳罩。
This is the shooting range. Each officer is expected to maintain a proficient level in weapons training.	這裡是靶場。每名警員都應維持熟練的武器訓練水準。
You see the weapons officer, Ken Mills, standing behind the equipment counter.	你看見武器警員肯．米爾斯站在裝備櫃檯後方。
The equipment counter holds ear protectors and additional ammunition.	裝備櫃檯上放著護耳罩和額外彈藥。
Looking through the glass, you see five shooting booths.	透過玻璃，你看見五個射擊台。
Looking through the glass, you see the weapons officer behind the counter.	透過玻璃，你看見武器警員站在櫃檯後方。
Weapons officer, Ken Mills, stands behind the equipment counter.	武器警員肯．米爾斯站在裝備櫃檯後方。
You can't see the target very well from here.	從這裡看不清楚標靶。
Mills says, "Bonds, I'm in charge here. Move out!"	米爾斯說：「邦茲，這裡由我負責。出去！」
They can't hear you .	他們聽不見你的聲音。
Officer Mills says, "Bonds, you don't belong behind here."	米爾斯警員說：「邦茲，你不該站到櫃檯後面。」
"I'm here to help," Mills says, "but I don't have time for small talk."	「我是來幫忙的，」米爾斯說，「但我沒時間閒聊。」
The weapons officer, Ken Mills, says, "What's the game plan, fella?"	武器警員肯．米爾斯說：「老兄，接下來打算怎麼做？」
"What can I do for you?" asks Ken.	「我能為你做什麼？」肯問道。
"Hey Sonny!" Mills says, "What do you need?"	「嘿，桑尼！」米爾斯說，「你需要什麼？」
