Talking to yourself again?	又在自言自語嗎？
"Listen, I've got a flight to catch, so if you'll excuse me....."	「聽著，我要趕飛機，失陪了……」
There's nobody here.	這裡沒有人。
You grab a paper towel and use it.	你拿了一張擦手紙使用。
The paper towel dispenser is over on the far wall.	擦手紙分配器在遠處的牆邊。
The dryer is already on.	烘手機已經開著。
You turn on the electric hand dryer.	你打開電動烘手機。
If you really have to go, use one of the stalls.	如果你真的要方便，請使用其中一間隔間。
It is already on.	它已經開著。
You turn on the sink water.	你打開洗手台的水。
It stays on all the time.	它一直開著。
It's on a timer and will shut off by itself.	它由計時器控制，會自動關閉。
It is already off.	它已經關閉。
You turn the water off.	你關掉水。
You've already dried the gun.	你已經把槍擦乾了。
You use the warm air from the electric hand dryer to dry off the gun.	你用電動烘手機的暖風把槍吹乾。
The hand dryer is not turned on.	電動烘手機沒有開啟。
You rip off a paper towel, and wipe the gun dry.	你撕下一張擦手紙，把槍擦乾。
You also wipe off any possible fingerprints.	你也擦掉可能存在的指紋。
You don't have a gun that needs drying.	你沒有需要擦乾的槍。
The warm air feels good on your hands.	暖風吹在手上很舒服。
In spite of your good upbringing, you wipe your hands on your pants. Shame on you.	儘管受過良好教養，你還是把手擦在褲子上。真丟臉。
Your hands are already dry.	你的手已經乾了。
That's a GOOD boy! It's not worth any points, but at least you're clean.	真是個乖孩子！雖然不值得加分，但至少你乾淨了。
That is one STUPID idea!	那真是個愚蠢透頂的主意！
