Gelepsi, Mario	葛雷普西，馬里奧
Haines, Calvin	海恩斯，卡爾文
Simpson, James	辛普森，詹姆斯
Adams, Robert	亞當斯，羅伯特
Waters, Laura	華特斯，蘿拉
Jerome, William	傑洛姆，威廉
Willis, John	威利斯，約翰
Jones, Steve	瓊斯，史蒂夫
Walters, Kim	華特斯，金
Pratt, Lloyd	普拉特，洛伊德
| Dooley, John	| 杜利，約翰
| Watts, Laura	| 瓦茲，蘿拉
| Pierson, James	| 皮爾森，詹姆斯
| Robinson, Keith	| 羅賓遜，基斯
| Hall, Fletcher	| 霍爾，弗萊徹
| Bonds, Sonny	| 邦茲，桑尼
| Mills, Kenneth	| 米爾斯，肯尼斯
Homicide (DIR)	凶殺組（目錄）
Vice (DIR)	風化組（目錄）
Burglary (DIR)	竊盜組（目錄）
FireArms (DIR)	槍械組（目錄）
Taselli, Jason	塔塞利，傑森
Loofin, Jasper	魯芬，賈斯珀
Martin, Richard	馬丁，理查
Botts, Rambus	波茲，蘭巴斯
Granandez, Jose	格拉南德茲，荷西
Martinez, Chico	馬丁尼茲，奇科
South, Julia	索斯，茱莉亞
| West, Lonnie	| 威斯特，朗尼
| Bains, Jessie	| 班恩斯，傑西
| Smith, Kenneth	| 史密斯，肯尼斯
| Loofin, Mary	| 魯芬，瑪麗
| Swift, Peter	| 斯威夫特，彼得
| South, Lorin	| 索斯，洛林
Simms, Victor	西姆斯，維克多
Colby, Donald	柯比，唐納德
Snider, Wilma	斯奈德，威爾瑪
Mulkins, Jack	穆爾金斯，傑克
Ramsey, Clyde	拉姆齊，克萊德
Quikel, Norma	奎克爾，諾瑪
Jones, Robin	瓊斯，羅賓
Snow, George	斯諾，喬治
Catskill, Frank	凱茲基爾，法蘭克
| Valencia, Jose	| 瓦倫西亞，荷西
| Dickey, Moffit	| 迪基，莫菲特
| Wilkans, Marie	| 威爾肯斯，瑪麗
| Roberts, Woody	| 羅伯茲，伍迪
| Fogg, Maynard	| 福格，梅納德
| Bridford, R.	| 布里德福，R.
