On this desk rests a workable computer.	這張桌上放著一台可以使用的電腦。
Looking at the peaceful, relaxing poster of the South Sea Isles almost throws your brain into neutral.	看著南海群島那張平靜放鬆的海報，幾乎讓你的腦袋進入空檔。
The wastebasket is over-flowing with discarded paper.	垃圾桶裡塞滿了廢紙。
The Burglary Office is furnished with the regular stuff, bulletin boards, desks, a wall map, bookcase and computer.	竊盜組辦公室裡有公告欄、桌子、牆上地圖、書櫃和電腦等一般設備。
The people in burglary will do that...someday.	竊盜組的人總有一天會處理那件事……
CASE#:M10251983. Name:Bains, Jessie Hiram. ALIAS:Sloan, Frank nmn.	案件編號：M10251983。姓名：班恩斯，傑西．海勒姆。別名：斯隆，法蘭克（中間名不詳）。
SCARS/TATTOOS: Abdominal scars caused by bullets. DOB: 11/30/51. PHYS: wht/male, 5'8", blk, brn, 150. ASSIGNED TO: Hamilton A/O: Sonny Bonds ARREST RECORD: Count #1 - MURDER. VICTIM - Taselli, Jason Count #2 - ATTEMPT MURDER VICTIM - Bonds, Sonny <1>	傷疤／刺青：腹部有子彈造成的疤痕。出生日期：1951/11/30。外觀：白人／男性，5 呎 8 吋，黑髮，棕眼，150 磅。承辦：漢彌爾頓　A/O：桑尼．邦茲。逮捕紀錄：第一項——謀殺，受害者——傑森．塔塞利；第二項——謀殺未遂，受害者——桑尼．邦茲。<1>
CASE#: M03151985. Name: Botts, Rambus. ALIAS: none.	案件編號：M03151985。姓名：波茲，蘭巴斯。別名：無。
SCARS/TATTOOS: None. DOB: 8/22/56. PHYS: blk/male, 5'11", blk, brn, 195. ASSIGNED TO: Pierson A/O: Same ARREST RECORD: First degree murder First degree burglary VICTIM - Smith, Kenneth SUMMARY: Victim was strangled during the commission of burglary to his home. Eyewitness testimony convicted Botts of murder, and burglary in the first degree. <1>	傷疤／刺青：無。出生日期：1956/8/22。外觀：黑人／男性，5 呎 11 吋，黑髮，棕眼，195 磅。承辦：皮爾森　A/O：同上。逮捕紀錄：一級謀殺、一級竊盜。受害者——肯尼斯．史密斯。摘要：受害者在住家遭竊時被勒死。目擊證詞使波茲因謀殺及一級竊盜罪名成立。<1>
CASE#: M12161984. NAME: Loofin, Mary. DECEASED: 12/16/1984. ALIAS: none. SCARS/TATTOOS: none. DOB: 2/10/30. PHYS: wht/fem, 5'03", gry, blu, 115. ASSIGNED TO: Pierson A/O: None METHOD OF MURDER - beating - ----------------------------------------	案件編號：M12161984。姓名：瑪麗．魯芬。死亡日期：1984/12/16。別名：無。傷疤／刺青：無。出生日期：1930/2/10。外觀：白人／女性，5 呎 3 吋，灰髮，藍眼，115 磅。承辦：皮爾森　A/O：無。謀殺方式——毆打——----------------------------------------
SUSPECT: NAME: Loofin, Jasper(husband) ALIAS: none. SCARS/TATTOOS: Anchor on left forearm. DOB: 1/2/30 PHYS: wht/male, 5'11", gry, blu, 145. <1>	嫌犯：姓名：賈斯珀．魯芬（丈夫）。別名：無。傷疤／刺青：左前臂有船錨刺青。出生日期：1930/1/2。外觀：白人／男性，5 呎 11 吋，灰髮，藍眼，145 磅。<1>
CASE#: M08022086. NAME: Martinez, Richard. DECEASED: 02/20/1986. ALIAS: none. SCARS/TATTOOS: none. DOB: 6/21/65. PHYS: mex/male, 5'8", blk, brn, 155. ASSIGNED TO: Pierson A/O: Same METHOD OF MURDER - Dagger - ----------------------------------------	案件編號：M08022086。姓名：理查．馬丁尼茲。死亡日期：1986/2/20。別名：無。傷疤／刺青：無。出生日期：1965/6/21。外觀：墨西哥裔／男性，5 呎 8 吋，黑髮，棕眼，155 磅。承辦：皮爾森　A/O：同上。謀殺方式——匕首——----------------------------------------
SUSPECT: NAME : Granandez, Chico. ALIAS: "Peppy". SCARS/TATTOOS: Cross on back of left hand DOB: 6/19/63. PHYS: mex/male, 5'8", blk, brn, 150. <1>	嫌犯：姓名：奇科．格拉南德茲。別名：「佩皮」。傷疤／刺青：左手背有十字刺青。出生日期：1963/6/19。外觀：墨西哥裔／男性，5 呎 8 吋，黑髮，棕眼，150 磅。<1>
CASE#: M09151983. Name: South, Julia DECEASED: 09/15/1983. ALIAS: none. SCARS/TATTOOS: 8" scar on abdomen. DOB: 4/22/49. PHYS: wht/fem, 5'4", red, brn, 135. ASSIGNED TO: Hall A/O: Same METHOD OF MURDER - Poison - ----------------------------------------	案件編號：M09151983。姓名：茱莉亞．索斯。死亡日期：1983/9/15。別名：無。傷疤／刺青：腹部有 8 吋疤痕。出生日期：1949/4/22。外觀：白人／女性，5 呎 4 吋，紅髮，棕眼，135 磅。承辦：霍爾　A/O：同上。謀殺方式——毒殺——----------------------------------------
SUSPECT: Name : South, Lorin. ALIAS: None. SCARS/TATTOOS: None DOB: 11/13/45. PHYS: wht/male, 5'9", gry, brn, 170. <1>	嫌犯：姓名：洛林．索斯。別名：無。傷疤／刺青：無。出生日期：1945/11/13。外觀：白人／男性，5 呎 9 吋，灰髮，棕眼，170 磅。<1>
CASE#: M09091983. NAME: Taselli, Jason. DECEASED: 09/09/1983. ALIAS: Marvin Hoffman. ALIAS: Leroy Pierson. SCARS/TATTOOS: Flower above left nipple. DOB: 3/1/39. PHYS: wht/male, 5'11", blk, brn, 195. ASSIGNED TO: Hamilton A/O: None METHOD OF MURDER - hand gun - ----------------------------------------	案件編號：M09091983。姓名：傑森．塔塞利。死亡日期：1983/9/9。別名：馬文．霍夫曼。別名：勒羅伊．皮爾森。傷疤／刺青：左乳頭上方有花朵刺青。出生日期：1939/3/1。外觀：白人／男性，5 呎 11 吋，黑髮，棕眼，195 磅。承辦：漢彌爾頓　A/O：無。謀殺方式——手槍——----------------------------------------
SUSPECT: NAME:Bains, Jessie Hiram. ALIAS:Sloan, Frank nmn. SCARS/TATTOOS: None. DOB: 11/30/51. PHYS: wht/male, 5'8", blk, brn, 150. <1>	嫌犯：姓名：班恩斯，傑西．海勒姆。別名：斯隆，法蘭克（中間名不詳）。傷疤／刺青：無。出生日期：1951/11/30。外觀：白人／男性，5 呎 8 吋，黑髮，棕眼，150 磅。<1>
CASE #: M08151983. NAME: West, Lonny. DECEASED: 09/15/1983. ALIAS: none. SCARS/TATTOOS: None DOB: 2/10/63. PHYS: wht/male, 6'0", bln, blu, 190. ASSIGNED TO: Hamilton A/O: No arrest METHOD OF MURDER - hand gun - ----------------------------------------	案件編號：M08151983。姓名：朗尼．威斯特。死亡日期：1983/9/15。別名：無。傷疤／刺青：無。出生日期：1963/2/10。外觀：白人／男性，6 呎，金髮，藍眼，190 磅。承辦：漢彌爾頓　A/O：無逮捕紀錄。謀殺方式——手槍——----------------------------------------
SUSPECT: Name : Taselli, Jason ALIAS: None. SCARS/TATTOOS: Flower, above left nipple. DOB: 3/1/39. PHYS: wht/male, 5'11", blk, brn, 195. <1>	嫌犯：姓名：傑森．塔塞利。別名：無。傷疤／刺青：左乳頭上方有花朵刺青。出生日期：1939/3/1。外觀：白人／男性，5 呎 11 吋，黑髮，棕眼，195 磅。<1>
SUMMARY: After a lengthy investigation, Officer Sonny Bonds successfully infiltrated the illegal gambling operation at the Hotel Delphoria. A confrontation with Bains ended in a shootout and his subsequent arrest. Suspect was convicted of first degree murder. Further: testimony provided by Woody Roberts, Marie Wilkans, and Don Colby was instrumental in convicting subject Bains on additional counts of narcotics trafficking and illegal gambling activities. CONVICTED: 10/25/1983. INCARCERATED: State Pen. LOCATION: Wixsom. SENTENCE: 97 years. PAROLE DATE: None. CASE STATUS: Closed END FILE: (2)	摘要：經過長期調查，桑尼．邦茲警員成功滲透德爾福里亞飯店的非法賭博活動。與班恩斯對峙後爆發槍戰，最終將他逮捕。嫌犯被判一級謀殺罪成立。此外，伍迪．羅伯茲、瑪麗．威爾肯斯與唐．柯比提供的證詞，對班恩斯另涉販毒與非法賭博活動的定罪至關重要。定罪：1983/10/25。監禁：州立監獄。地點：威克森。刑期：97 年。假釋日期：無。案件狀態：結案。檔案結束：（2）
