"Well partner" Keith says, "I guess this means the s#!* has hit the fan."	「好了，夥伴，」基斯說，「看來事情已經徹底失控了。」
"I sure hope Bains lets that correctional officer go unhurt."	「我真希望班恩斯會放那名矯正員警平安離開。」
"Keith says to you..."Ole Oak Tree Mall! Boy, do I know that place well. My wife spends half my paycheck there."	「基斯對你說……『老橡樹購物中心！天啊，我太熟悉那地方了。我老婆一半薪水都花在那裡。』」
"Mercy, mercy!" Keith says..."We almost had that bulldog for a hood ornament."	「天啊，天啊！」基斯說……「我們差點就讓那隻鬥牛犬當車頭裝飾了。」
Keith comments..."Can you believe the cars they give us to drive these days? I think I can get better acceleration from my ten-speed bike."	基斯評論道……「你相信現在配給我們開的車嗎？我覺得我的十段變速腳踏車加速還比較快。」
Keith says to you..."Ok Sonny, I'll give you two-to-one odds for fifty cents that the jogger's a dude... yes or no?"	基斯對你說……「好，桑尼，我出五十美分，二賠一賭那名慢跑者是男的……你要不要？」
Keith says..."You're on, buddy."	基斯說……「成交，老兄。」
"You little wimp!" Keith grunts, disgustedly.	「你這個小孬種！」基斯厭惡地哼道。
With excitement in his voice, Keith speaks into the mike... "Dispatch...53mary2 with emergency traffic!."	基斯語氣激動地對麥克風說……「派遣中心……53mary2 有緊急通報！」
Dispatch booms back..."All units hold your traffic...I have emergency traffic from 53mary2..."	派遣中心大聲回覆……「所有單位暫停通話……53mary2 有緊急通報……」
Dispatch continues..."53mary2, go ahead with your emergency traffic."	派遣中心繼續說……「53mary2，請報告緊急通報。」
Screaming into the mike Keith says..."Dispatch...53mary2. We have just been ambushed at Cotton Cove by suspect Bains..."	基斯對著麥克風喊道……「派遣中心……53mary2。我們剛在棉花灣遭嫌犯班恩斯伏擊……」
Continuing..."Suspect last seen northbound on Clearwater Drive at a high rate of speed...Be advised, we do not have him in sight..."	他繼續說……「嫌犯最後出現在清水大道，正以高速向北行駛……請注意，我們目前看不到他……」
Dispatch acknowledges your traffic. "53mary2... 10-4...Do you have a description of the suspect vehicle?..."	派遣中心確認你的通報。「53mary2……10-4……你有嫌犯車輛的描述嗎？」
"...and advise injury status from ambush."	「……並回報伏擊造成的人員受傷情況。」
Almost out of breath, Keith answers..."Dispatch...53mary2... negative injury to personnel..."	基斯幾乎喘不過氣地回答……「派遣中心……53mary2……人員無受傷……」
"...suspect vehicle matches description of vehicle stolen from Oak Tree Mall."	「……嫌犯車輛符合從老橡樹購物中心竊取的車輛描述。」
"10-4...Attention all units...per 53mary2...be on the lookout for a stolen 1986 compact black station wagon..."	「10-4……所有單位注意……依 53mary2 通報……留意一輛遭竊的 1986 年黑色小型旅行車……」
"Suspect vehicle last seen northbound on Clearwater Drive at a high rate of speed..."	「嫌犯車輛最後出現在清水大道，正以高速向北行駛……」
"Break."	「通話完畢。」
"Suspect vehicle has partial plate #C035...Be advised - the driver, Jessie Bains, just ambushed mary2 at Cotton Cove."	「嫌犯車牌部分號碼為 #C035……請注意——駕駛人傑西．班恩斯剛在棉花灣伏擊 mary2。」
"The mary unit has lost sight of vehicle... caution...suspect is armed and dangerous...all units acknowledge."	「mary 單位已失去車輛蹤跡……注意……嫌犯持有武器且具危險性……所有單位請回覆。」
As other units acknowledge the emergency traffic, Keith says, "We might as well back out of it, Sonny. Looks like we lost the &!*@#*$!"	其他單位回覆緊急通報時，基斯說：「桑尼，我們不如退出追捕。看來我們跟丟那個 &!*@#*$! 了。」
As other units acknowledge the emergency traffic, Keith says, "We might as well stay here, Sonny. Looks like the &!*@#*$! is loooong gone."	其他單位回覆緊急通報時，基斯說：「桑尼，我們還是留在這裡吧。看來那個 &!*@#*$! 早就跑遠了。」
Captain Fletcher Hall comes on the air, car-to-car... "53mary2...53mary1 bye."	弗萊徹．霍爾警監透過車對車無線電加入通話……「53mary2……53mary1 完畢。」
