hand gun	手槍
extra ammo clips	備用彈匣
key ring	鑰匙圈
unmarked car keys	無標誌車鑰匙
money clip	鈔票夾
thank you letter	感謝信
death threat	死亡威脅
wire clippers	剪線鉗
field kit	現場勘查箱
potted plant	盆栽
single long-stemmed rose	一朵長莖玫瑰
new mug shot	最新大頭照
hit list	暗殺名單
makeshift knife	自製刀
ear protectors	護耳
plane ticket	機票
plaster cast	石膏模型
lost badge	遺失的警徽
thumb print	拇指指紋
empty holster	空槍套
finger print	指紋
old mug shot	舊大頭照
envelope corner	信封角落
jail clothes	囚衣
motel key	汽車旅館鑰匙
vial of blood	血液小瓶
walkie talkie	無線電
jailer's revolver	獄警的左輪手槍
gas mask	防毒面具
bomb instructions	炸彈說明
car registration	汽車登記文件
Colby's business card	柯比的名片
note from Marie's door	瑪麗門上的紙條
your LPD business card	你的萊頓警察局名片
The car's trunk contains:	汽車後車廂內有：
The car's trunk is empty.	汽車後車廂是空的。
Your desk drawer contains:	你的桌子抽屜內有：
Your desk drawer is empty.	你的桌子抽屜是空的。
Your locker contains:	你的置物櫃內有：
Your locker is empty.	你的置物櫃是空的。
and to the right	以及右側
and to the left	以及左側
Information	資訊
xr~ 6C%	xr~ 6C%
xrn 6C%	xrn 6C%
xro 6C%	xro 6C%
rx9qr J	rx9qr J
xrH 6C%	xrH 6C%
xrK 6C%	xrK 6C%
xrF 6C%	xrF 6C%
